samplename	AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	developmental_stage	source_name	treatment	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	cell_line	cell_type
gfp1	51	SAMN06236723	SRX2498809	299	183	SRR5182708	SRS1925642	GSM2461348		cell culture from nervous system, ds-GFP	dsRNA targeting GFP	RNA-Seq	PRJNA362227	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-01-17	Drosophila melanogaster	ILLUMINA	2017-11-22	SRP096911	BG3	
gfp2	51	SAMN06236722	SRX2498810	337	207	SRR5182709	SRS1925643	GSM2461349		cell culture from nervous system, ds-GFP	dsRNA targeting GFP	RNA-Seq	PRJNA362227	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-01-17	Drosophila melanogaster	ILLUMINA	2017-11-22	SRP096911	BG3	
gfp3	51	SAMN06236721	SRX2498811	316	194	SRR5182710	SRS1925644	GSM2461350		cell culture from nervous system, ds-GFP	dsRNA targeting GFP	RNA-Seq	PRJNA362227	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-01-17	Drosophila melanogaster	ILLUMINA	2017-11-22	SRP096911	BG3	
shep1	51	SAMN06236720	SRX2498812	462	284	SRR5182711	SRS1925645	GSM2461351		cell culture from nervous system, ds-shep	dsRNA targeting shep	RNA-Seq	PRJNA362227	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-01-17	Drosophila melanogaster	ILLUMINA	2017-11-22	SRP096911	BG3	
shep2	51	SAMN06236719	SRX2498813	361	222	SRR5182712	SRS1925646	GSM2461352		cell culture from nervous system, ds-shep	dsRNA targeting shep	RNA-Seq	PRJNA362227	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-01-17	Drosophila melanogaster	ILLUMINA	2017-11-22	SRP096911	BG3	
shep3	51	SAMN06236718	SRX2498814	391	241	SRR5182713	SRS1925647	GSM2461353		cell culture from nervous system, ds-shep	dsRNA targeting shep	RNA-Seq	PRJNA362227	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2017-01-17	Drosophila melanogaster	ILLUMINA	2017-11-22	SRP096911	BG3	
